is_scam,text
1,저희는 금융감독원입니다. 현재 귀하의 계좌에서 이상 거래가 감지되어 보안 재확인이 필요합니다. 지금 당장 조치하지 않으시면 계좌가 잠기게 됩니다.
1,금융감독원 직원입니다. 현재 귀하의 계좌에서 이상거래가 감지되었습니다. 보안을 위해 즉시 계좌정보 재확인이 필요합니다.
1,"저는 금융감독원에서 연락드리는데요, 귀하의 계좌에서 비정상적인 거래 활동이 감지되었습니다. 보안을 위해 지금 당장 계좌 정보 재확인이 필요합니다."
0,"예금 상품에 대해 안내해 드리겠습니다. 저희 은행의 예금 상품은 다양한 이자율과 혜택이 제공되니, 자세한 내용은 영업점을 방문하시거나 홈페이지를 참고해 주세요."
0,예금 상품 중 안정적인 금리를 제공하는 만기 1년 정기예금 상품이 있습니다. 자세한 내용은 영업점을 방문하시거나 고객센터로 문의해주시기 바랍니다.
0,예금 상품으로는 정기예금과 만기일 협의예금이 있습니다. 자세한 내용은 영업점을 방문하시거나 홈페이지를 참고해주세요.
1,"저희는 금융감독원입니다. 귀하의 계좌에서 비정상적인 거래가 확인되어, 보안을 위해 긴급하게 계좌정보 재확인이 필요합니다."
0,예금 상품에 대해 안내해 드리겠습니다. 저희 은행의 다양한 예금 상품 중에서 고객님의 요구에 맞는 상품을 추천해 드릴 수 있습니다.
0,"예금 상품에 대해 안내해 드리겠습니다. 당사의 예금 상품은 다양하게 준비되어 있으며, 자세한 내용은 온라인 홈페이지나 가까운 영업점을 방문하시면 안내 받으실 수 있습니다."
1,"안녕하세요, 경찰청 사이버범죄수사대입니다. 현재 귀하의 계좌가 범죄자금으로 사용되는 사건을 수사 중입니다. 수사 협조를 위해 즉시 계좌 정보를 확인해야합니다. 지체할 경우 계좌가 동결될 수 있습니다."
1,저는 서울중앙지검 소속 검사입니다. 귀하의 계좌가 범죄에 이용된 사실이 확인되어 즉시 조치가 필요합니다. 부디 계좌 정보와 함께 생년월일을 알려주시기 바랍니다.
0,예금 상품으로는 정기예금과 만기일조회 예금을 안내해드릴 수 있습니다. 추가 궁금하신 사항이 있으시면 언제든지 문의해주세요.
0,"예금 상품에 대해 안내해 드릴게요. 저희 은행에서는 다양한 예금 상품을 제공하고 있으며, 가입 조건과 이율 등 자세한 내용은 홈페이지를 통해 확인하실 수 있습니다."
1,저는 금융감독원 보안팀장입니다. 귀하의 계좌에서 이상 거래가 감지되어 보안 확인이 필요합니다. 지체 없이 계좌와 보안카드 정보를 알려주세요.
0,"예금 상품에 대해 안내해 드리겠습니다. 저희 은행에서는 다양한 예금 상품을 제공하고 있으며, 자세한 내용은 영업점을 방문하시거나 홈페이지를 참고해 주세요."
0,"예금 상품에 대해 안내해 드릴게요. 저희 은행의 예금 상품은 다양하게 준비되어 있으니, 고객님의 목적에 맞게 선택하시면 됩니다. 추가 궁금하신 사항이 있으시면 언제든지 문의해 주세요."
1,"귀하의 계좌가 범죄자금으로 사용된 것이 확인되었습니다. 바로 계좌 확인 절차를 진행해야 하오니, 계좌번호를 알려주시기 바랍니다."
0,"예금 상품에 대해 안내해 드릴텐데, 현재 가입하신 예금 상품에 대해서는 연 1%의 이자율이 적용되고 있습니다. 만기일이 다가오면 자동으로 연장되니 추가 안내가 필요하신 경우 연락 주시면 됩니다."
1,경찰청 금융범죄 수사대입니다. 귀하의 계좌가 범죄자금으로 의심되어 임시 동결 조치를 진행중입니다. 확인차 주민번호와 계좌번호를 알려주시기 바랍니다.
1,국민은행 보안팀입니다. 비정상적인 거래가 감지되어 보안을 위해 계좌 재확인이 필요합니다. 지금 당장 확인하지 않으면 계좌가 잠깁니다.
0,"고객님, 예금 상품에 대해 안내해 드릴게요. 저희 은행의 예금 상품은 안정적인 이자율과 다양한 혜택이 기다리고 있습니다. 궁금한 사항이 있으시면 언제든지 문의해 주세요."
1,"제가 국민은행 보안팀장입니다. 귀하의 계좌에서 이상한 거래가 감지되어, 보안을 위해 계좌 확인이 필요합니다. 지금 바로 연락 주시지 않으면 계좌가 잠기게 됩니다."
0,"예금 상품에 대해 안내해 드릴게요. 저희 은행의 예금 상품은 다양하게 준비되어 있으며, 자세한 내용은 영업점을 방문하시거나 홈페이지를 참고해 주세요."
1,경찰서입니다. 귀하 계좌가 범죄에 연결됐습니다. 즉시 계좌 확인을 위한 정보를 알려주셔야 합니다.
1,"안녕하세요, 현재 XXX 은행 보안팀입니다. 귀하의 계좌에서 비정상 거래가 감지되었습니다. 보안을 위해 지금 당장 계좌정보의 재확인이 필요합니다. 확인하지 않으시면 계좌가 잠겨 버릴 수 있습니다."
1,경찰청 사이버수사팀 홍길동 수사관입니다. 귀하의 계좌가 범죄에 연루된 것으로 보여 지금 당장 조치를 취해야 합니다. 계좌번호와 주민등록번호를 확인해주세요.
1,당장 조치하지 않으면 계좌가 동결될 위기입니다. 계좌 정보 확인을 위해 협조 바랍니다.
1,금융감독원 소속으로 연락드렸습니다. 귀하의 계좌에서 비정상 거래가 감지되어 즉시 확인이 필요합니다. 계좌와 보안카드 정보를 알려주세요.
0,예금 상품에 대해 안내해 드릴게요. 저희 은행의 예금 상품은 다양한 이율과 혜택을 제공하고 있습니다. 자세한 내용은 영업점을 방문하시거나 온라인으로 확인해주세요.
0,예금 상품에 대한 자세한 안내는 홈페이지에서 확인하실 수 있습니다. 추가 문의 사항이 있으시면 상담원에게 문의해주시기 바랍니다.
1,본인의 계좌가 범죄자금으로 사용되어 수사 중입니다. 즉시 조치를 위해 계좌 정보를 확인해주십시오.
1,경찰서에서 연락드립니다. 귀하의 계좌가 범죄자금으로 사용되어 수사 중입니다. 즉시 조치하지 않으면 계좌가 동결될 수 있으니 계좌정보 확인을 위한 협조 부탁드립니다.
