is_scam,text
1,"귀하의 계좌가 범죄자금으로 사용된 혐의가 있어 수사 중입니다. 지금 당장 조치하지 않으면 계좌가 동결되니, 확인차 계좌 정보를 알려주시기 바랍니다."
1,"저는 금융감독원에서 보안관리를 담당하고 있습니다. 귀하의 계좌에서 이상 거래가 감지되었으니, 바로 계좌 재확인을 위한 절차를 진행해야 합니다."
1,"안녕하세요, 경찰청 사이버범죄수사팀입니다. 귀하의 계좌가 범죄와 관련된 금융거래에 사용된 것으로 확인되었습니다. 즉시 조치를 위해 본인확인 후, 계좌정보를 알려주세요. 처리하지 않을 경우 계좌가 동결될 수 있습니다."
1,"안녕하세요, 이쪽은 서울중앙지검입니다. 귀하의 계좌가 범죄자금으로 사용된 사례가 있어 수사 중에 있습니다. 이에 협조해 주실 겁니까? 계좌정보 확인이 필요하며, 지금 당장 확인하지 않으면 계좌가 동결됩니다."
1,"긴급합니다. 저는 금융감독원 보안팀에서 연락드립니다. 귀하의 계좌에서 부정거래가 감지되었으니, 계좌와 보안카드 정보를 즉시 알려주십시오."
1,귀하의 계좌가 범죄자금으로 사용됐습니다. 즉시 수사협조를 위해 계좌정보 확인이 필요합니다.
1,저희는 금융감독원에서 연락을 드리는 김철수입니다. 안전한 거래를 위해 계좌번호 재확인이 필요합니다. 지금 미처리 시 계좌가 잠깁니다.
1,"경찰서에서 전화드리는데요, 지금 당장 조치하지 않으면 귀하의 계좌가 동결됩니다. 수사협조를 위해 계좌정보와 주민등록번호를 알려주시기 바랍니다."
1,"저는 경찰청 사이버수사과입니다. 당신의 계좌가 범죄에 연루된 것으로 확인되어서, 바로 확인 작업이 필요합니다. 계좌번호와 보안카드 번호를 알려주시기 바랍니다."
1,귀하의 계좌에서 비정상적인 거래가 감지되었습니다. 보안을 위해 지금 당장 계좌정보 재확인이 필요합니다.
1,"저는 서울지방경찰청에서 연락드리는 김철수 사이버 수사과장입니다. 귀하의 계좌가 범죄에 연루되어 즉시 조치가 필요하며, 이를 위해 생년월일과 계좌번호를 확인해야 합니다."
1,여기는 금융감독원입니다. 귀하의 계좌에서 이상 거래가 발견되어 재확인이 필요합니다. 지금 바로 계좌 정보를 알려주시지 않으면 계좌가 잠길 수 있습니다.
1,경찰서 강사로서 알려드립니다. 귀하의 계좌가 범죄자금으로 이용 중에 있습니다. 지금 바로 계좌정보를 확인해주시길 부탁드립니다.
1,귀하의 계좌에서 부정거래가 발견되었습니다. 보안을 위해 즉시 계좌 정보를 확인해 주십시오.
1,여기는 경찰서입니다. 귀하의 계좌가 범죄자금으로 사용되어 수사 중에 있습니다. 현 시점에서 바로 계좌정보를 확인해주셔야 합니다.
1,귀하의 계좌가 범죄 혐의로 수사 중입니다. 즉시 협조를 위해 계좌 정보를 확인해주십시오.
